Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt1086064,no,no,no,no,no,no,5,"Al Vicente, Kelly Carlin-McCall, Erinn Hayes, Rachael Cohen, Chris Matheson, John Ryan Jr., Amy Stoch, Alex Winter, Peter Wick, Shoshana Bean, Ned Yousef, Anthony Carrigan, Edward Grad, Samara Weaving, Jordan Jones, Brigette Lundy-Paine"
tt10933680,no,no,no,no,no,no,5,Kris Deskins
tt10949778,no,no,no,no,no,no,5,"Gideon Emery, Heidi Johanningmeier"
tt10958102,no,no,no,no,no,no,5,David Towner
tt11003218,no,yes,no,no,no,no,7,"David Knell, Alex Wolff, Sean Tarjyoto, Brian Sutherland, Elijah Ungvary, Lex Damis"
tt11012066,no,no,no,no,no,no,3,"Rob Delaney, Dany Wiseman"
tt11044858,no,yes,no,no,no,no,5,"Kimberly Carlson, Phillip Wampler"
tt11057594,no,no,no,no,no,no,4,"Alex Stamm, Kym Jackson, Brian Nolan, Maya Stojan"
tt11080108,no,no,no,no,no,no,6,"Jorja Fox, Kyle Allen"
tt1109624,no,no,no,no,no,no,7,"Ross Boatman, Hugh Bonneville, Tim Downie, Llewella Gideon, Hamish McColl, Eddie Nestor, Byron Wallen, Madeleine Worrall, Catherine Shepherd, Tom Meeten, Gus Brown, Madeleine Harris, Samuel Joslin, Johnny Derbyshire"
tt11100856,no,no,no,no,no,no,5,Rachael Leigh Cook
tt11125620,yes,no,no,no,no,no,5,"Ryan Folsey, Nik Shriner, Griffin Burns"
tt11127256,no,no,no,no,no,no,4,Marc Edward Heuck
tt11127680,no,yes,no,no,no,no,7,"Philip Barantini, Lourdes Faberes, Bart Ruspoli, Ray Panthaki, Gary Lamont"
tt11127690,no,yes,no,no,no,no,5,Linda Morselli
tt11140488,no,no,no,no,no,no,6,"Kelsey Edwards, Marshall Allman, Dustin Hahn, Chloe East"
tt11169050,no,yes,no,no,no,no,6,Toby Gaffney
tt11176322,no,no,no,no,no,no,3,"Mirtha Michelle, Mike Hatton, Mercedes Kilmer"
tt11199410,no,yes,no,no,no,no,5,"Suanne Braun, Lachlan Nieboer, Mark Fleischmann"
