Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt2265567,no,no,no,no,yes,yes,7,Allison Hagendorf
tt2267968,yes,no,no,no,no,no,7,"Barbara Dirickson, April Hong, Ming Tsai, Láng Lang, Willie Geist, Shiloh Jolie-Pitt, Zahara Jolie-Pitt, Radzi Chinyanganya"
tt2274358,no,yes,no,no,no,no,7,Noémie Godin-Vigneau
tt2277860,yes,no,no,no,no,no,7,"Andrew Stanton, Ty Burrell, Vicki Lewis, Kaitlin Olson, Jason Pace, Jerome Ranft, Regina Taufen, Samantha Jane Samuels, Carrie Paff"
tt2277946,no,no,no,no,yes,no,7,Angela Sun
tt2278388,no,no,no,no,no,no,8,"Ralph Fiennes, Jeff Goldblum, Jude Law, Adrien Brody, Mathieu Amalric, Michael Benthin, Michaela Caspar, Heike Hanold-Lynch, Florian Lukas, Matthias Matschke, Rainer Reiners, Steffen Scheumann, Hans Martin Stier, Sabine Urig, Giselda Volodi, Hannes Wegener, Milton Welsh, Daniel Steiner, Tony Revolori, Volker Michalowski, Claudia Jung, Golo Euler, Hugo Guinness, Hendrik von Bültzingslöwen, Robin Hurlstone, Edward Bursch, Marko Dyrlich, Bernhard Kremser"
tt2294916,no,no,yes,no,yes,no,7,Daniel Pickett
tt2303626,no,yes,no,no,no,no,7,Jelena Stupljanin
tt2304426,no,yes,no,no,no,no,7,"Colson Smith, Conner Chapman, Shaun Thomas, Nohail Nazir Mohammed"
tt2309941,no,yes,no,no,no,no,7,"Marc Bary, Bianca Krijgsman, Issaka Sawadogo, Teun Stokkel"
tt2321405,yes,yes,no,no,no,no,7,"Morgan Navarro, Sophie Hunger"
tt2322316,yes,no,no,no,no,no,7,Fernanda Takai
tt2325853,no,yes,yes,no,no,no,7,"Brandy Kopp, Bill Sorice, Vincenzo Caiola, Edward Michael Scott, Marshawn Lynch"
tt2334608,no,yes,no,no,no,no,7,"Mark Ezra Stokes, Sanna Erica"
tt2334649,no,yes,yes,no,no,no,7,"Melonie Diaz, Michael B. Jordan, Caroline Lesley, Octavia Spencer, Ahna O'Reilly, Germán Legarreta, Joey Oglesby, Richard Kho, Dustin Miller"
tt2334873,no,yes,no,no,no,no,7,"Andrew Dice Clay, Emily Bergl, Bobby Cannavale, Max Casella, Richard Conti, Kathy Tong, Sally Hawkins, Ali Fedotowsky"
tt2338399,no,no,no,no,no,no,8,"Brendan Hutt, Jarno Siivola, Jessica Spaid, Josh Razavi, Anna Baird Galloway"
tt2348478,no,yes,no,no,no,no,8,"Radhaa Nilia, Orion Bradshaw"
tt2358456,no,yes,yes,no,yes,no,7,Debra Spinney
tt2359024,no,yes,no,no,no,no,7,"Eve Plumb, Amy Hargreaves, Kevin Kolack, Sidné Anderson, Skei Saulnier, Katie Kramer"
tt2359427,no,no,yes,no,yes,no,7,"Mike D'Antoni, Jeremy Lin"
tt2361846,yes,yes,no,no,no,no,7,James Hancock
tt2370248,no,yes,no,no,no,no,7,"John Gallagher Jr., Brie Larson, Isabella Peregrina, Anna Mercedes Morris, M. Elizabeth Hughes, Renonda Bray, LaKeith Stanfield, Kaitlyn Dever, Stephanie Beatriz, Bran'dee Allen"
tt2371158,no,yes,no,no,no,no,7,"Alain Clark, Pierre Rieu"
tt2374902,no,yes,no,no,no,no,7,"Halldóra Geirharðsdóttir, Brynhildur Guðjónsdóttir, Ívar Arnþórsson"
tt2375037,no,no,no,no,no,no,7,Kelvin Hale
tt2377398,no,yes,no,no,no,no,7,Martín Vicario
tt2378401,no,no,no,no,yes,no,7,Ravi Patel
tt2387575,no,yes,no,no,no,no,7,"Niaz Diasamidze, Levan Glonti, Paata Papuashvili"
tt2388621,no,yes,no,no,no,no,7,"Hill Harper, Amanda Ramsaran"
tt2390361,no,yes,no,no,no,no,7,"Julia Louis-Dreyfus, Michael Alba, Ben Falcone, Tavi Gevinson, Phillip Brock"
tt2395417,no,yes,no,no,no,no,7,"Tim Potter, Deborah Frances-White, Andrew Ashford, Rosie Kosky-Hensman"
tt2396566,no,no,yes,no,yes,no,7,Lisa Fischer
